pred_id,amphipoda_tot,bivalvia_tot,clupeidae_tot,clupea_harengus_tot,gadus_morhua_tot,gobiidae_tot,mysidae_tot,non_bio_tot,other_crustacea_tot,other_tot,other_pisces_tot,platichthys_flesus_tot,polychaeta_tot,saduria_entomon_tot,sprattus_sprattus_tot,predator_latin_name,species,pred_weight_g,pred_length_cm,year,quarter,month,ices_rect,subdiv,haul_id,smhi_serial_no,X,Y,lat,lon,fle_kg_km2,mcod_kg_km2,scod_kg_km2,date,bottom_depth,group,depth,density_saduria,oxy
2015_4_COD_230,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gadus morhua,Cod,41,17,2015,4,11,41G7,25,2015_4_8,7,647.3338697206914,6216.0246844983185,56.06666666666667,17.366666666666667,794.859813084112,5514.953271028038,2626.1682242990655,2015-11-21,416,small cod,39.939998626708984,3301.8662109375,5.589224890119934
2015_4_COD_233,0.01,0,0,0,0,0,0.01,0,0.02,0,0,0,0,0,0,Gadus morhua,Cod,36,15,2015,4,11,41G7,25,2015_4_8,7,647.3338697206914,6216.0246844983185,56.06666666666667,17.366666666666667,794.859813084112,5514.953271028038,2626.1682242990655,2015-11-21,416,small cod,39.939998626708984,3301.8662109375,5.589224890119934
2015_4_COD_234,0,0,0,0,0,0,0.26,0,0,0,0.05,0,0,0.2,0,Gadus morhua,Cod,344,34,2015,4,11,41G7,25,2015_4_8,7,647.3338697206914,6216.0246844983185,56.06666666666667,17.366666666666667,794.859813084112,5514.953271028038,2626.1682242990655,2015-11-21,416,large cod,39.939998626708984,3301.8662109375,5.589224890119934
2015_4_COD_235,0,0,0,0,0,0,0.41000000000000003,0,0.19,0,0,0,0,0.34,0,Gadus morhua,Cod,167,26,2015,4,11,41G7,25,2015_4_8,7,647.3338697206914,6216.0246844983185,56.06666666666667,17.366666666666667,794.859813084112,5514.953271028038,2626.1682242990655,2015-11-21,416,large cod,39.939998626708984,3301.8662109375,5.589224890119934
2015_4_COD_238,0,0,0,0,0,0,0.43999999999999995,0,0,0,0,0,0,1.69,0,Gadus morhua,Cod,285,37,2015,4,11,41G7,25,2015_4_8,7,647.3338697206914,6216.0246844983185,56.06666666666667,17.366666666666667,794.859813084112,5514.953271028038,2626.1682242990655,2015-11-21,416,large cod,39.939998626708984,3301.8662109375,5.589224890119934
2015_4_COD_249,0,0,0,0,0,0,0.58,0,0,0,0,0,0,0.03,0,Gadus morhua,Cod,97,21,2015,4,11,41G8,26,2015_4_9,10,710.2659422570316,6246.518439875497,56.31666666666667,18.4,1054.09429280397,1937.4689826302729,1574.1935483870966,2015-11-21,425,small cod,42.2599983215332,3031.6455078125,7.010592976611328
2015_4_COD_25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gadus morhua,Cod,346,34,2015,4,11,40G4,25,2015_4_2,1,474.81727343113545,6165.344364084611,55.63333333333333,14.6,330.28125,32054.050000000003,10684.683333333334,2015-11-20,602,large cod,58.349998474121094,153.9318389892578,3.972603003425598
2015_4_COD_250,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0,Gadus morhua,Cod,79,20,2015,4,11,41G8,26,2015_4_9,10,710.2659422570316,6246.518439875497,56.31666666666667,18.4,1054.09429280397,1937.4689826302729,1574.1935483870966,2015-11-21,425,small cod,42.2599983215332,3031.6455078125,7.010592976611328
2015_4_COD_251,0,0,0,0,0,0,0.84,0,0,0,0,0,0,0.14,0,Gadus morhua,Cod,138,24,2015,4,11,41G8,26,2015_4_9,10,710.2659422570316,6246.518439875497,56.31666666666667,18.4,1054.09429280397,1937.4689826302729,1574.1935483870966,2015-11-21,425,small cod,42.2599983215332,3031.6455078125,7.010592976611328
2015_4_COD_252,0,0,0,0,0,0,0.26999999999999996,0,0,0,0,0,0,0,0,Gadus morhua,Cod,93,21,2015,4,11,41G8,26,2015_4_9,10,710.2659422570316,6246.518439875497,56.31666666666667,18.4,1054.09429280397,1937.4689826302729,1574.1935483870966,2015-11-21,425,small cod,42.2599983215332,3031.6455078125,7.010592976611328
2015_4_COD_253,0,0,0,0,0,0,5.64,0,0,0,0,0,0,0,0,Gadus morhua,Cod,168,25,2015,4,11,41G8,26,2015_4_9,10,710.2659422570316,6246.518439875497,56.31666666666667,18.4,1054.09429280397,1937.4689826302729,1574.1935483870966,2015-11-21,425,small cod,42.2599983215332,3031.6455078125,7.010592976611328
2015_4_COD_254,0,0,0,0,0,0,0.6399999999999998,0,0,0,0,0,0,0,0,Gadus morhua,Cod,105,22,2015,4,11,41G8,26,2015_4_9,10,710.2659422570316,6246.518439875497,56.31666666666667,18.4,1054.09429280397,1937.4689826302729,1574.1935483870966,2015-11-21,425,small cod,42.2599983215332,3031.6455078125,7.010592976611328
2015_4_COD_255,0,0,0,0,0,0,1.59,0,0,0,0,0,0,0,0,Gadus morhua,Cod,86,20,2015,4,11,41G8,26,2015_4_9,10,710.2659422570316,6246.518439875497,56.31666666666667,18.4,1054.09429280397,1937.4689826302729,1574.1935483870966,2015-11-21,425,small cod,42.2599983215332,3031.6455078125,7.010592976611328
2015_4_COD_256,0,0,0,0,0,0,1.0899999999999996,0,0,0,0,0,0,0,0,Gadus morhua,Cod,59,18,2015,4,11,41G8,26,2015_4_9,10,710.2659422570316,6246.518439875497,56.31666666666667,18.4,1054.09429280397,1937.4689826302729,1574.1935483870966,2015-11-21,425,small cod,42.2599983215332,3031.6455078125,7.010592976611328
2015_4_COD_257,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gadus morhua,Cod,46,16,2015,4,11,41G8,26,2015_4_9,10,710.2659422570316,6246.518439875497,56.31666666666667,18.4,1054.09429280397,1937.4689826302729,1574.1935483870966,2015-11-21,425,small cod,42.2599983215332,3031.6455078125,7.010592976611328
2015_4_COD_258,0,0,0,0,0,0,0.9899999999999999,0,0,0,0,0,0,0,0,Gadus morhua,Cod,49,17,2015,4,11,41G8,26,2015_4_9,10,710.2659422570316,6246.518439875497,56.31666666666667,18.4,1054.09429280397,1937.4689826302729,1574.1935483870966,2015-11-21,425,small cod,42.2599983215332,3031.6455078125,7.010592976611328
2015_4_COD_259,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,Gadus morhua,Cod,95,22,2015,4,11,41G8,26,2015_4_9,10,710.2659422570316,6246.518439875497,56.31666666666667,18.4,1054.09429280397,1937.4689826302729,1574.1935483870966,2015-11-21,425,small cod,42.2599983215332,3031.6455078125,7.010592976611328
